time,thrust1,thrust2,thrust3,thrust4
1746279625.6917012,0.029925,0.029925,5.3199999999999985,5.32
1746279625.7650445,2.430339422605812,2.076304635642766,0.029925,0.0622625714164325
1746279625.8409636,0.029925,0.029925,3.7198905422183923,5.043949679470147
1746279625.903581,1.498395311290421,2.054824992819839,5.319999999999988,5.319999999999995
1746279625.9434564,0.029925,0.029925,5.32,5.32
1746279626.0110848,1.5084641218245765,0.960172035226034,5.32,5.32
1746279626.0374668,0.029925,0.029925,5.32,5.32
1746279626.0975742,1.645107922047085,1.3734589767428536,5.32,5.32
1746279626.1694658,0.02992500000000027,0.445121820609701,5.3199999999999985,5.319999999999998
1746279626.2180653,1.705751844073362,0.029925,5.32,5.32
1746279626.3154516,0.06432610391676041,2.4674321581292222,5.32,5.3199999999999985
1746279626.332455,1.6997554876149987,0.029925,5.32,5.32
1746279626.3998818,0.5443634977134104,2.5491917226988003,5.319999999999998,3.6703914798657133
1746279626.4539034,1.082639346370682,0.029925,4.992583602529266,5.32
1746279626.5248008,1.6469697056975443,2.82557103561635,5.32,2.673193843051929
1746279626.5849593,1.5562281461060896,0.029925,4.099996258621551,5.32
1746279626.6565084,2.4134262410724565,3.105892973087935,5.32,1.922929888532951
1746279626.693262,3.5038042589258644,0.5312241363736538,3.152509702161613,5.32
1746279626.76986,4.548856965885867,5.32,5.3199999999999985,1.904035941876915
1746279626.876627,5.32,3.3160141149670816,2.216978193838438,5.32
1746279626.9666505,5.32,5.32,4.174383057834078,1.5731677423252546
1746279627.0046334,5.32,5.32,0.7883717927340214,5.32
1746279627.0542529,5.32,5.32,2.7528837377358832,0.9249631707276924
1746279627.0954397,5.3199999999999985,5.3199999999999985,0.36449702500489567,5.292965907804299
1746279627.1636415,5.32,5.32,2.425648991241568,0.6231034307941208
1746279627.2269084,5.32,5.32,0.14466414580456877,4.098352710236527
1746279627.2870083,5.32,5.32,2.3128310419534235,0.4879467838135428
1746279627.3454807,5.3199999999999985,5.3199999999999985,0.05328284000706158,3.3986885832672717
1746279627.407912,5.32,5.32,2.299921000333851,0.42236788349930493
1746279627.4653597,5.32,5.32,0.029925,2.9703238302981494
1746279627.5186388,5.32,5.32,2.2939903560257786,0.4169328419056322
1746279627.5664394,5.32,5.32,0.029925,2.736241673268216
1746279627.6203592,5.32,5.32,2.2653250489549395,0.46275951992981473
1746279627.6965811,5.32,5.32,0.029925,2.624876662484648
1746279627.7608323,5.32,5.32,2.2687838229920416,0.6283174240618581
1746279627.80993,5.32,5.32,0.029925,2.6514755308546762
1746279627.8644695,5.32,5.32,2.269288418405147,0.8496144495610748
1746279627.919986,5.32,5.32,0.029925,2.6978972366981306
1746279628.0513709,5.32,5.32,2.319568409051661,1.2068629438776244
1746279628.1175897,5.32,5.32,0.045695434626524145,3.0300071352396887
1746279628.185484,5.3199999999999985,5.32,2.3537199238400124,1.6789158268066766
1746279628.2682068,5.3199999999999985,5.3199999999999985,0.19888095310931153,3.6040149429271087
1746279628.3255165,5.32,5.32,2.4375127545879276,2.2427183597457665
1746279628.3828368,5.32,5.32,0.416880191573696,4.427622836144923
1746279628.4491103,5.319999999999995,5.32,2.67239240129215,2.700812445106443
1746279628.5177,5.32,4.944463967841765,0.7648488264535158,5.32
1746279628.5493317,4.966045621664052,5.32,3.0077963985551963,3.240755158836211
1746279628.6124117,5.32,4.330967649495244,1.1678419508921816,5.32
1746279628.6791193,3.6738884665700238,5.32,3.858878315974409,3.951283980809643
1746279628.850418,5.32,3.8425550325411675,1.8721099124891039,5.32
1746279628.9131072,2.3032934567989667,5.32,5.32,5.0039535534872375
1746279628.9692974,4.268007409022567,3.5651415946385385,2.8430841749859304,5.32
1746279629.063343,1.6079332989437036,5.32,5.32,5.32
1746279629.0887492,3.5378589259074733,3.598575879962764,3.375492046631452,5.319999999999996
1746279629.1480823,1.2408025296090037,5.319999999999953,5.319999999999996,5.319999999999998
1746279629.2025516,3.1083387990019564,3.661722940512047,3.8495132274592705,5.32
1746279629.2952678,1.0299541436853774,5.319999999995907,5.32,5.32
1746279629.3367991,2.7235023274658543,3.801929539444817,4.480525985972005,5.32
1746279629.3903112,0.810801457272347,5.216889627147827,5.32,5.32
1746279629.4332392,2.507411972717171,3.9792444395731255,5.041126775833338,5.319999999999994
1746279629.5257213,0.7972353065707031,5.13018878610079,5.32,5.32
1746279629.6001596,2.3596426733617437,4.147193550280119,5.319999999993577,5.319999999999998
1746279629.648493,0.8746246711752266,5.120541434191346,5.3199999999999985,5.319999999999998
1746279629.693953,2.2284519305275325,4.325825316463953,5.32,5.32
1746279629.7507715,0.9516740704370602,5.115538109552971,5.3199999999999985,5.319999999999998
1746279629.7995632,2.173836279837272,4.428435149991882,5.319999999997288,5.319999999999914
1746279629.8747175,1.0941109421810686,5.064787583266375,5.32,5.32
1746279629.9210722,2.167185138024109,4.4894510609610645,5.32,5.32
1746279630.001227,1.258722958128524,4.980922292998619,5.32,5.32
1746279630.0350008,2.203950862615514,4.505330013645044,5.200889752958334,5.32
1746279630.102963,1.4626998022510422,4.8776289300337465,5.32,5.32
1746279630.2077413,2.278392843215315,4.480088354852641,4.8530304488032785,5.32
1746279630.302219,1.8345422410308927,4.743517511247207,5.32,5.32
1746279630.341488,2.5216433886934504,4.34157391442527,4.2010843583548585,5.319999999999998
1746279630.4268935,2.0644436323197035,4.589894724668954,5.248250984142547,5.32
1746279630.459487,2.742740945912276,4.245091282369998,3.7823470144846842,5.319999999999998
