time,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,vel_x,vel_y,vel_z,pos_error,quat_error
1746279625.6917012,3.3516553230583668e-06,7.874056791479234e-06,5.000024318695068,0.5003950721018015,-4.779788584933416e-06,-1.7517873224835738e-05,0.8657971884260832,3.9268612454179674e-05,-2.0439802028704435e-05,-3.165674570482224e-05,8.616844492959856,1.4727233974286245
1746279625.7650445,3.7253171285556164e-06,7.668209036637563e-06,5.000024318695068,0.5003987643690617,-0.00015886168696107125,7.162988544065331e-05,0.8657950370902112,3.376513996045105e-05,-1.777886791387573e-05,-5.785946996184066e-06,8.616844770800002,1.4728269242316774
1746279625.8409636,3.4001855055976193e-06,8.948082722781692e-06,4.9998602867126465,0.5004034745431136,-0.001550551496787414,0.0009247652936161919,0.8657904499729636,-0.00010613359336275607,0.00021874543745070696,-0.022387033328413963,8.616837429419036,1.4732371472534385
1746279625.903581,1.5699777122790692e-06,1.2535518180811778e-05,4.9995436668396,0.5004037013272019,-0.002356366291457894,0.0015041575324582098,0.8657876880309945,-0.00026996011729352176,0.0005204944172874093,-0.04083437845110893,8.616700311268666,1.4742971542430168
1746279625.9434564,-2.319619397894712e-06,2.0081810362171382e-05,4.9990692138671875,0.500404942205309,-0.0035622500235035475,0.0024265523044619485,0.8657807551771898,-0.0005273891147226095,0.0010337691055610776,-0.052436523139476776,8.616554784173546,1.4751031541087964
1746279626.0110848,-2.2183015971677378e-05,6.046447015251033e-05,4.997987270355225,0.500402913167271,-0.008549788375335883,0.005910374965368566,0.8657302657757868,-0.0016253457870334387,0.0033647052478045225,-0.053244128823280334,8.616198944048266,1.478431286038795
1746279626.0374668,-4.348242509877309e-05,0.00010472019494045526,4.997476577758789,0.5003829767529882,-0.013032959902858578,0.008838996913387112,0.8656609559553637,-0.0027176025323569775,0.005652335938066244,-0.048138417303562164,8.616004864001143,1.4814144120100372
1746279626.0975742,-7.858080789446831e-05,0.00017752789426594973,4.997029781341553,0.5003271798070623,-0.01921804073946312,0.012802142728408739,0.8655284427435121,-0.00440826453268528,0.00911528430879116,-0.04118570685386658,8.615799614490689,1.4855169454005797
1746279626.1694658,-0.00013468712859321386,0.00029289929079823196,4.996665954589844,0.5002073532240365,-0.027359803981396563,0.01794799797361111,0.8652871860113512,-0.006980005651712418,0.014279904775321484,-0.030766448006033897,8.615574029370967,1.4908948685393806
1746279626.2180653,-0.0002220291644334793,0.00047044813982211053,4.996419906616211,0.4999855032675645,-0.03760327817179296,0.024356249890278646,0.8648741313533995,-0.01067760493606329,0.021587219089269638,-0.01857590675354004,8.615317599129657,1.4976255911879448
1746279626.3154516,-0.0003531340917106718,0.0007338516297750175,4.9962992668151855,0.49960948316402826,-0.05012586679425114,0.03213269089201133,0.8642020897838283,-0.01579570397734642,0.03156662732362747,-0.00525351706892252,8.615007633792363,1.5058012281708735
1746279626.332455,-0.000544052803888917,0.0011132473591715097,4.996320724487305,0.4990139846085509,-0.06499005594492203,0.04142060841526832,0.8631602800128617,-0.022690841928124428,0.04488267004489899,0.009652855806052685,8.614617259394386,1.5154317460925557
1746279626.3998818,-0.0008141498547047377,0.00164514547213912,4.996495723724365,0.498121587230284,-0.0822247492380022,0.05234086085420797,0.8616115187443646,-0.03167983517050743,0.06216730922460556,0.025576377287507057,8.614111407507139,1.5264996977503593
1746279626.4539034,-0.001185693545266986,0.00237206625752151,4.99683141708374,0.49683886323330845,-0.10184604703382313,0.06488574783255839,0.8594000037309913,-0.043013643473386765,0.08396045863628387,0.04139067232608795,8.613447528347898,1.5389741207949288
1746279626.5248008,-0.0016831298125907779,0.0033411316107958555,4.997318267822266,0.4950542548931889,-0.12386394531912781,0.07887208407381162,0.8563633586953515,-0.056885816156864166,0.11064313352108002,0.055715788155794144,8.6125734772983,1.5528153220450587
1746279626.5849593,-0.002333427779376507,0.004604086745530367,4.997941017150879,0.492649295886576,-0.14824483329055593,0.09423794062100845,0.8523141153428279,-0.07366321235895157,0.1428798884153366,0.06866725534200668,8.611430593613278,1.5679532130855653
1746279626.6565084,-0.0031666853465139866,0.00621812092140317,4.99868106842041,0.4894989288285775,-0.1748481405581466,0.11076798070215829,0.8470828654094004,-0.09345414489507675,0.18079566955566406,0.07871325314044952,8.609953489913748,1.5842498455054892
1746279626.693262,-0.004214312881231308,0.00824196357280016,4.99950647354126,0.48549115719639097,-0.20350713963993594,0.1284159818708788,0.8404716033274527,-0.11665306985378265,0.22505110502243042,0.086049884557724,8.608071191212439,1.6015554418635323
1746279626.76986,-0.005512725096195936,0.010742970742285252,5.000392436981201,0.4805162794456725,-0.2339458930073535,0.14694063610647148,0.8323351931723816,-0.14363020658493042,0.276244580745697,0.0905812606215477,8.605705648475888,1.6196583305037302
1746279626.876627,-0.009047397412359715,0.01751627027988434,5.002292156219482,0.467430844172681,-0.2986241661395257,0.18599339760063266,0.811010770188942,-0.2137795239686966,0.40828225016593933,0.09947884827852249,8.602768566201503,1.638298680082001
1746279626.9666505,-0.01140002254396677,0.02200033888220787,5.003297805786133,0.4592095980583359,-0.33205110471219434,0.20571080375309284,0.797841885419517,-0.25761085748672485,0.49005380272865295,0.10089055448770523,8.594737248315822,1.6761434370397579
1746279627.0046334,-0.014218544587492943,0.027350427582859993,5.004291534423828,0.4499483539254118,-0.3655815008833251,0.2253796670507811,0.7830074397422968,-0.30694320797920227,0.5814399719238281,0.09688706696033478,8.589408901816835,1.694820029344657
