elapsed time,timestamp,topic,value
6.496,1746018905.296000000,/flightmare_control/control_delay_ms.data,14.101266860961914
6.496,1746018905.296000000,/flightmare_control/control_delay_ms.data,6.942272186279297
6.496,1746018905.296000000,/flightmare_control/control_delay_ms.data,5.952358245849609
6.496,1746018905.296000000,/flightmare_control/control_delay_ms.data,3.9091110229492188
6.516,1746018905.316000000,/flightmare_control/control_delay_ms.data,7.393836975097656
6.516,1746018905.316000000,/flightmare_control/control_delay_ms.data,7.582664489746094
6.518,1746018905.318000000,/flightmare_control/control_delay_ms.data,5.578756332397461
6.537,1746018905.337000000,/flightmare_control/control_delay_ms.data,11.967182159423828
6.542,1746018905.342000000,/flightmare_control/control_delay_ms.data,5.799055099487305
6.549,1746018905.349000000,/flightmare_control/control_delay_ms.data,12.571096420288086
6.573,1746018905.373000000,/flightmare_control/control_delay_ms.data,6.209611892700195
6.573,1746018905.373000000,/flightmare_control/control_delay_ms.data,3.7279129028320312
6.573,1746018905.373000000,/flightmare_control/control_delay_ms.data,5.137205123901367
6.588,1746018905.388000000,/flightmare_control/control_delay_ms.data,6.971597671508789
6.595,1746018905.395000000,/flightmare_control/control_delay_ms.data,7.241487503051758
6.647,1746018905.447000000,/flightmare_control/control_delay_ms.data,30.964136123657227
6.683,1746018905.483000000,/flightmare_control/control_delay_ms.data,9.377479553222656
6.683,1746018905.483000000,/flightmare_control/control_delay_ms.data,15.197038650512695
6.683,1746018905.483000000,/flightmare_control/control_delay_ms.data,7.671833038330078
6.695,1746018905.495000000,/flightmare_control/control_delay_ms.data,11.510848999023438
6.696,1746018905.496000000,/flightmare_control/control_delay_ms.data,21.471261978149414
6.736,1746018905.536000000,/flightmare_control/control_delay_ms.data,17.575502395629883
6.753,1746018905.553000000,/flightmare_control/control_delay_ms.data,17.904996871948242
6.753,1746018905.553000000,/flightmare_control/control_delay_ms.data,25.48527717590332
6.763,1746018905.563000000,/flightmare_control/control_delay_ms.data,8.615493774414062
6.7780000000000005,1746018905.578000000,/flightmare_control/control_delay_ms.data,14.948368072509766
6.785,1746018905.585000000,/flightmare_control/control_delay_ms.data,9.676218032836914
6.797,1746018905.597000000,/flightmare_control/control_delay_ms.data,13.56053352355957
6.816,1746018905.616000000,/flightmare_control/control_delay_ms.data,15.208005905151367
6.836,1746018905.636000000,/flightmare_control/control_delay_ms.data,9.192705154418945
6.85,1746018905.650000000,/flightmare_control/control_delay_ms.data,9.895801544189453
6.85,1746018905.650000000,/flightmare_control/control_delay_ms.data,10.185480117797852
6.865,1746018905.665000000,/flightmare_control/control_delay_ms.data,18.022775650024414
6.884,1746018905.684000000,/flightmare_control/control_delay_ms.data,11.729001998901367
6.901,1746018905.701000000,/flightmare_control/control_delay_ms.data,13.057708740234375
6.915,1746018905.715000000,/flightmare_control/control_delay_ms.data,19.398212432861328
6.929,1746018905.729000000,/flightmare_control/control_delay_ms.data,15.064001083374023
