time,thrust1,thrust2,thrust3,thrust4
1746064203.5751204,2.4525000000319936,2.4525000000319936,2.4525000000319936,2.4525000000319936
1746064203.6073747,5.32,4.546424161927934,5.32,4.546424161927934
1746064203.645657,5.32,4.3245595745564,5.32,4.324559574541746
1746064203.6617892,5.32,4.388322287483948,5.32,4.388322282926355
1746064203.7121758,5.32,4.49466020580383,5.32,4.494660201350438
1746064203.7281952,5.32,4.56989585658932,5.32,4.569895863565429
1746064203.7501984,5.32,4.606443222555255,5.32,4.606443219954858
1746064203.782135,5.319999999999994,4.606477493468889,5.319999999999994,4.606477542024765
1746064203.809597,5.32,4.574325779730182,5.32,4.574325826362913
1746064203.8455346,5.32,4.51482940011399,5.32,4.514829456893333
1746064203.860123,5.32,4.432795166058532,5.32,4.432795269741701
1746064203.8983078,5.32,4.333906938091289,5.32,4.333907029539959
1746064203.9259362,5.32,4.2227351503608705,5.32,4.222735391419771
1746064203.941437,5.32,4.102400781270477,5.32,4.102400889771482
1746064203.9851544,5.32,3.977757229847372,5.32,3.977757277350242
1746064204.0102198,5.32,3.8502553625293046,5.32,3.8502551883326834
1746064204.0362573,5.32,3.7235389480012935,5.32,3.7235387313930244
1746064204.0733252,5.32,3.598497582136799,5.32,3.598497180385717
1746064204.0889494,5.32,3.476876309877547,5.32,3.4768758050119644
1746064204.1210675,5.3199999999999985,3.360015148603946,5.3199999999999985,3.360014587543747
1746064204.1420636,5.32,3.247901293263199,5.32,3.2479009721571774
1746064204.1795485,5.32,3.1417807129717215,5.32,3.141780665139179
1746064204.1943336,5.32,3.0417266281891506,5.32,3.041727374060905
1746064204.2316084,5.32,2.947331572680976,5.32,2.947333786270167
1746064204.246068,5.319999999999988,2.8589185130959556,5.319999999999988,2.8589229005311196
1746064204.2899675,5.32,2.7767001193155854,5.32,2.7767084484668025
1746064204.3415618,5.32,2.6295813533936654,5.32,2.629597882072651
1746064204.389527,5.32,2.4967912294222105,5.32,2.4968233002468563
1746064204.4127793,5.32,2.4377819480513225,5.32,2.4378428143545703
1746064204.465517,5.32,2.384423638843483,5.32,2.3845375911618665
