time,thrust1,thrust2,thrust3,thrust4,pos_error
1746065762.1879127,2.4525000000319936,2.4525000000319936,2.4525000000319936,2.4525000000319936,0
1746065762.2233915,5.32,5.32,5.32,5.32,0
1746065762.2486992,5.32,5.319999999999998,5.32,5.319999999999998,0
1746065762.2753062,5.32,5.31999999999795,5.32,5.31999999999795,0
1746065762.29099,5.32,5.32,5.32,5.32,0
1746065762.318423,5.32,5.32,5.32,5.32,0
1746065762.360034,5.32,5.3199999999999985,5.32,5.3199999999999985,0
1746065762.4053192,5.32,5.32,5.32,5.32,0
1746065762.437292,5.32,5.32,5.32,5.32,0
1746065762.472508,5.32,5.32,5.32,5.32,0
1746065762.51692,5.32,5.32,5.32,5.32,0
1746065762.5471687,5.32,5.319999999999942,5.32,5.319999999999942,0
1746065762.5991735,5.32,5.32,5.32,5.32,0
1746065762.6263819,5.32,5.183546975384075,5.32,5.183547501652749,0
1746065762.6501648,5.32,5.034413200848211,5.32,5.034413170285494,0
1746065762.676537,5.32,4.863903565804836,5.32,4.863904288450176,0
1746065762.7037365,5.32,4.683850894923534,5.32,4.683850844807827,0
1746065762.73489,5.319999999999991,4.500391435444391,5.319999999999991,4.500392245951458,0
1746065762.7609253,5.32,4.318341927161115,5.32,4.318341970735469,0
1746065762.7845197,5.319999999999987,4.139796760982216,5.319999999999987,4.139797654238389,0
1746065762.8120153,5.32,3.967818841829951,5.32,3.9678190777939912,0
1746065762.8291254,5.32,3.8026110480212933,5.32,3.802612455231916,0
1746065762.8546278,5.32,3.646250177801938,5.32,3.6462508828071982,0
1746065762.8792245,5.32,3.4987200556174503,5.32,3.498722008328363,0
1746065762.906416,5.32,3.3597363207392004,5.32,3.3597390356955157,0
1746065762.945215,5.32,3.230579473880105,5.32,3.230584259042663,0
1746065762.9682746,5.32,3.1103372592018927,5.32,3.110345909273246,0
1746065763.017174,5.32,2.90120621441515,5.32,2.9012230315079868,0
1746065763.0385888,5.32,2.796437511786162,5.32,2.796470235685236,0
1746065763.0676484,5.32,2.7075974023975062,5.32,2.7076617692962754,0
1746065763.0917423,5.319999999999996,2.6253423480966998,5.319999999999996,2.625466946391858,0
1746065763.1182134,5.32,2.5499641951898937,5.32,2.550197599152834,0
1746065763.1471388,5.32,2.4806544142771068,5.32,2.4810860657240412,0
1746065763.1859415,5.32,2.416575931542359,5.32,2.417402088935382,0
1746065763.2001648,5.3199999999999985,2.357147644232455,5.3199999999999985,2.3587138805768393,0
1746065763.2379029,5.319999999999998,2.3025430548565873,5.319999999999994,2.305483135366118,0
1746065763.2848716,5.32,2.251660606711766,5.32,2.2570828360877466,0
1746065763.297117,5.32,2.203345771064656,5.32,2.2135153526188525,0
1746065763.316469,5.32,2.1565453649986814,5.32,2.175303424735205,0
1746065763.343475,5.319999999999991,2.1102055742556556,5.319999999999983,2.1443448389380864,0
1746065763.368524,5.32,2.060743163505103,5.32,2.1229248002613477,0
1746065763.3841288,5.32,2.0040677963360958,5.32,2.1157109512692105,0
1746065763.408275,5.319999999996456,1.9346473878136632,5.319999999998799,2.132426857208301,0
1746065763.445883,5.319999999999995,1.8459425504873868,5.319999999999982,2.190962351942457,0
1746065763.5145483,5.32,1.7360710063925595,5.3165347540464785,2.3246100531308924,0
1746065763.561759,5.32,1.6097526885496862,4.989455094566675,2.546066958429026,0
1746065763.6037703,5.319999999999962,1.5419903210483588,4.523790225712752,2.9096667273482706,0
1746065763.612416,5.319999999999994,1.5660611629964645,4.1627836815578325,3.3838727819827983,0
1746065763.658932,5.135877681250349,1.633874252254714,3.914483408065162,3.7366660115856667,0
1746065763.6742835,4.845700716217023,1.6888047195687232,3.7679545419517346,3.8832348896110567,0
1746065763.719624,4.56912352957397,1.7248505655332638,3.683664744824993,3.8654129078645734,0
1746065763.7354152,4.322896434410755,1.7549895228382884,3.63144443624644,3.744976851072048,0
1746065763.7630093,4.100081875967482,1.7874309255630618,3.5973670597396947,3.5706485469028686,0
1746065763.7899904,3.893813174984137,1.8262011002219694,3.575365374737422,3.3736280298308685,0
1746065763.814277,3.7003190787372717,1.8727518894588837,3.562575237050229,3.1724789264883064,0
1746065763.8512099,3.5178977479061104,1.927326447625954,3.557391800737597,2.9777370558932956,0
1746065763.8891819,3.345818266519091,1.9895460251261876,3.5587272173978253,2.7950547204871348,0
1746065763.9123569,3.1837292976227323,2.0587094123509897,3.565685041793767,2.6270919565044646,0
1746065763.9438713,3.0314113731199797,2.133932808382726,3.5773898832316315,2.474675372618705,0
1746065763.9628406,2.8887056119946477,2.214230435355365,3.5928776834406406,2.3375323414065843,0
1746065763.9962962,2.755502766438434,2.2985617557609586,3.611019470299217,2.2147718486788963,0
1746065764.020584,2.631742834343082,2.3858640683436407,3.6304813425084967,2.1052021976231616,0
1746065764.0451605,2.517399193880529,2.475071419297004,3.649722597764034,2.007535392908433,0
1746065764.0739062,2.4124481096955424,2.565125122391391,3.6670392547961415,1.9205130437615612,0
1746065764.101244,2.316830968929589,2.6549786520462324,3.6806471940077077,1.8429753596655731,0
1746065764.1341248,2.230420104634983,2.7435998006309315,3.688792079630866,1.7738911765768361,0
1746065764.162444,2.152998174182398,2.8299760363879343,3.689869816042541,1.712362802800453,0
1746065764.1879375,2.084256702821266,2.9131266395590973,3.682536081762951,1.6576163416940053,0
