x,y,z,vx,vy,vz,qx,qy,qz,qw
-2.9729339841696474,7.350807403620792,2.497494520018295,1.5800529105805647,1.226137673796556,0.00436979244042368,0.00035396970061811825,-0.0010335130245235425,0.3240148841966553,0.9460510861200352
-2.5682533643430876,7.644197696035192,2.4985794288142014,1.6547585191666256,1.1232789570285664,0.004303789148066372,0.00031609672267775073,-0.0010284678927411858,0.29378438178419153,0.9558708467952325
-2.13062509955991,7.923084835893363,2.499683218619538,1.7156653639184105,1.027849520640526,0.004197653620855051,0.0002797876316393098,-0.0010114287199857522,0.2666131923675252,0.9638027811568121
-1.663358823819452,8.186732577226937,2.5007912042047487,1.7658307693481707,0.9390554468781572,0.004057481146203958,0.0002454301720186512,-0.000984231511794541,0.24195310225181957,0.9702871554809391
-1.1697641711210458,8.434404674067537,2.501888700340275,1.8075859475197507,0.8559309770610104,0.0038870130452004024,0.00021312795234269233,-0.0009480935135070236,0.21932301367173618,0.975651560865025
-0.6531507754640277,8.665364880446793,2.50296102179656,1.842697027981485,0.7774663764119978,0.0036881909653435673,0.00018284680927165933,-0.0009037363507771995,0.19830507014812265,0.9801396563386556
-0.11682827084773183,8.878876950396334,2.503993483344045,1.872497483227609,0.7026671337124761,0.003461543511987111,0.00015450203926758294,-0.000851482257485959,0.17853538181026193,0.9839328562315326
0.43589370872850175,9.074204637947787,2.5049713997531717,1.897989833568959,0.6305745153653195,0.003206434799399886,0.00012801142596224476,-0.0007913214790497138,0.15969313400677795,0.9871661245482931
1.0017055292653394,9.250611697132774,2.5058800857943835,1.9199204747292684,0.5602648900782621,0.0029212044930278153,0.00010333011230481267,-0.0007229541090492242,0.1414897277589997,0.9899392005177696
1.5772975567634477,9.407361881982927,2.506704856238122,1.9388325778262423,0.49083741560612776,0.0026032219562962824,8.047762743574759e-05,-0.0006458104285600903,0.12365850255404082,0.9923243664988713
2.159360157223486,9.543718946529873,2.5074310258548285,1.9551012895359137,0.4213950645161402,0.0022488693177909157,5.95641338172631e-05,-0.0005590531153555631,0.10594505122589286,0.9943715740069622
2.7445836966461217,9.658946644805237,2.5080439094149467,1.968954165567227,0.35102132175759754,0.001853461588903505,4.082149717264588e-05,-0.00046156368843669097,0.0880978777707061,0.9961114628307005
3.32965854103202,9.752308730840651,2.508528821688918,1.9804783387198641,0.27875341716831104,0.00141110688828801,2.4644628973505874e-05,-0.0003519147807778673,0.0698590248905164,0.9975565594645301
3.911275056381841,9.823068958667738,2.508871077447184,1.9896144262196807,0.2035522202585583,0.0009145066568022905,1.1649492181905097e-05,-0.00022832962634265056,0.05095423684241344,0.9987007112175886
4.486123608696251,9.870491082318127,2.5090559914601878,1.99613553085818,0.12426875183711439,0.0003546952609682525,2.7561758393425373e-06,-8.863094972997871e-05,0.03108219872668969,0.9995165762110312
5.050894563975918,9.893838855823443,2.5090688784983715,1.9996077248967676,0.03960773211838227,-0.00027927741100169365,-6.913799611297066e-07,6.981591274071617e-05,0.00990241621781412,0.9999507159232034
5.602278288221498,9.892376033215314,2.5088950533321768,1.9993259511234966,-0.05190993178350606,-0.0010007034747493582,3.246924700692847e-06,0.00025015474479265706,-0.012978574144116956,0.9999154918988646
6.136965147433663,9.86536636852537,2.5085198307320455,1.9942162636522267,-0.15198045651932632,-0.0018255666108041792,1.735319789613565e-05,0.00045606156353472584,-0.038022611771803716,0.999276523046076
6.651645507613075,9.812073615785236,2.5079285254684205,1.9826921174171506,-0.26253413793780594,-0.002772769624225959,4.5595430448033865e-05,0.0006916912368269468,-0.06577600971162163,0.9978339204062464
7.143009734760394,9.73176152902654,2.5071064523117443,1.9624506071285324,-0.38571047956086507,-0.0038639954265548043,9.358939124615456e-05,0.0009614547504138559,-0.09688349849751535,0.9952950070667155
7.60774819487629,9.623693862280911,2.506038926032458,1.9301989679121705,-0.523741908759672,-0.005122715312485914,0.00016916924428420722,0.0012694573356216154,-0.13209326494865828,0.991236210776585
8.04255125396142,9.487134369579973,2.5047112614010043,1.8813242999027053,-0.6786571844209442,-0.006571454519254004,0.00028296586841740476,0.0016183130751413707,-0.17223903106593216,0.9850535585870094
8.444109278016459,9.321346804955356,2.503108773187826,1.809585643619322,-0.8516642571096312,-0.008225874081644368,0.00044866792893000397,0.0020069319167273234,-0.21817316467884146,0.9759076477723161
8.809112633042059,9.125594922438683,2.501216776163364,1.7070570398563287,-1.0420433993564444,-0.010083845595490734,0.0006822015312939931,0.0024269084834280257,-0.2706100617586501,0.9626854806824989
9.134324480546852,8.89917594481176,2.4990217410782303,1.5664057924436738,-1.2434738972860677,-0.012059109394847774,0.0009925545070620888,0.0028467167524948156,-0.3292269516227703,0.9442457415951695
9.418912929931963,8.642492803195369,2.496548328842703,1.3974329238125094,-1.4307321644937365,-0.013658525841781946,0.0013252780422144872,0.0031469789469262027,-0.388113104577844,0.9216051502672692
9.664944430267184,8.357280980800457,2.4938672255034287,1.2113391758801098,-1.5913645766960607,-0.01469836974789232,0.001631615854460533,0.0032925119806425885,-0.44402056094094233,0.8960087795789441
9.874657982937464,8.045355294171705,2.491051857208198,1.0191805949669563,-1.7207676575214355,-0.01514732290219756,0.0018751531431279527,0.003289997934005177,-0.49517057304204726,0.8687872336799933
10.050292589327757,7.708530559853794,2.488175650104798,0.8312792844203498,-1.818996571536048,-0.015036089281182958,0.0020318828413582036,0.003162577083889145,-0.5405275412973646,0.8413176216278315
10.19408725082301,7.348621594391405,2.4853120303410194,0.6553469360869337,-1.8895269036905815,-0.014433877083680527,0.0020921744311132935,0.0029400714142084174,-0.579788276898167,0.8147588761749769
10.308280968808175,6.96744321432922,2.482534424064651,0.495948529400748,-1.9374867150071515,-0.013422086315741684,0.002057604508790657,0.0026506433384653324,-0.6131929924875831,0.7899256848888698
10.395112744668205,6.566810236211919,2.4799162574234823,0.35495636189895924,-1.968212395240506,-0.012075571173697184,0.0019360082884217742,0.002316390353050471,-0.6412919231230771,0.7672907197989842
10.456821579788043,6.1485374765841865,2.477530956565302,0.23238682179337186,-1.9864256751507936,-0.010453569783078534,0.0017372768200078033,0.0019523659161921382,-0.6647550333810955,0.7470564963383811
10.495646475552643,5.714439751990702,2.4754519476378998,0.12719402272401648,-1.9959327743814927,-0.008597635913578204,0.0014707403383352503,0.001567450452172535,-0.6842505359429178,0.7292434963334561
